Age,Gender,Height_cm,Weight_kg,BMI,Activity_Level,Calorie_Level
17,Male,167.9,73.4,26.05,Medium,High
15,Female,160.1,76.2,29.72,Low,Medium
17,Male,162.2,68.5,26.02,High,High
8,Female,130.3,22.6,13.33,Medium,Low
17,Male,173.5,77.7,25.83,Medium,High
11,Female,134.3,42.2,23.4,High,Medium
15,Female,168.6,77.0,27.06,Medium,High
7,Male,140.1,33.9,17.27,Medium,Medium
10,Male,143.8,36.7,17.72,High,Medium
16,Female,154.2,45.1,18.96,High,Medium
6,Female,113.7,26.6,20.54,High,Low
14,Female,163.4,68.4,25.61,High,High
17,Female,175.4,68.8,22.37,Medium,High
13,Female,164.6,65.6,24.22,Medium,Medium
9,Male,126.9,25.9,16.09,Low,Low
10,Male,135.0,27.3,14.95,Medium,Medium
16,Female,174.8,75.1,24.58,Medium,High
16,Male,153.5,55.1,23.36,High,High
16,Male,160.0,75.4,29.47,Low,Medium
16,Male,171.3,66.1,22.51,Low,Medium
8,Female,104.6,15.0,13.71,Low,Low
15,Male,166.7,58.3,20.99,Low,Medium
14,Female,154.6,47.5,19.86,Medium,Medium
11,Male,145.2,41.8,19.81,Low,Low
16,Female,161.5,53.1,20.37,Low,Low
13,Male,186.1,92.6,26.76,Low,High
11,Female,141.1,32.1,16.15,High,Medium
5,Female,143.4,43.6,21.19,High,Medium
5,Male,130.9,46.9,27.37,Low,Low
13,Female,157.0,61.4,24.92,High,High
15,Female,168.3,71.9,25.39,Medium,High
13,Female,162.0,76.8,29.29,Low,Medium
8,Female,127.4,37.4,23.03,Medium,Low
17,Female,157.9,62.4,25.03,Low,Medium
13,Female,181.9,79.4,24.0,High,High
7,Female,134.3,34.1,18.9,Low,Low
11,Female,145.3,44.7,21.19,High,Medium
10,Male,162.3,59.1,22.43,Low,Medium
12,Male,145.7,47.4,22.33,Medium,Medium
15,Female,176.0,78.8,25.44,High,High
13,Female,165.4,55.4,20.26,Low,Medium
9,Male,128.9,42.0,25.26,Medium,Medium
5,Male,124.2,27.5,17.81,Medium,Low
7,Male,126.0,23.9,15.03,Medium,Low
14,Female,166.7,68.5,24.64,Low,Medium
16,Male,158.3,65.7,26.24,Low,Medium
12,Female,141.0,29.3,14.72,Medium,Low
15,Female,162.8,62.0,23.38,Medium,Medium
10,Male,147.3,37.8,17.43,Medium,Medium
12,Female,144.7,66.0,31.5,Low,Medium
13,Female,176.7,77.8,24.92,Medium,High
8,Female,133.5,24.0,13.5,Medium,Low
5,Female,123.0,51.8,34.24,Medium,Medium
5,Male,138.8,34.5,17.92,Medium,Medium
14,Male,183.7,82.1,24.31,Low,High
8,Female,104.6,15.0,13.72,Low,Low
16,Female,174.3,67.5,22.23,Low,Medium
11,Male,138.1,40.0,21.01,Medium,Medium
6,Female,133.0,15.3,8.66,Low,Low
7,Male,137.4,46.1,24.41,Medium,Medium
5,Female,116.2,15.0,11.1,Medium,Low
9,Female,106.5,15.0,13.23,Medium,Low
5,Male,133.4,39.4,22.14,Medium,Medium
12,Male,146.4,44.7,20.88,Low,Low
5,Male,108.3,15.0,12.79,Medium,Low
15,Male,190.0,81.9,22.69,High,High
5,Female,131.2,48.0,27.87,Medium,Medium
6,Male,131.7,36.0,20.73,High,Medium
6,Female,138.7,30.0,15.6,High,Medium
16,Male,159.2,60.6,23.92,Medium,High
10,Male,146.3,37.1,17.32,Low,Low
11,Female,131.8,45.6,26.24,Medium,Low
9,Male,118.9,20.5,14.51,Low,Low
5,Male,128.9,21.1,12.68,Medium,Low
5,Male,108.3,15.0,12.78,High,Low
7,Male,118.6,16.4,11.66,High,Low
6,Female,115.7,15.0,11.2,Medium,Low
9,Female,126.4,29.5,18.44,Medium,Low
16,Male,170.7,73.6,25.23,Medium,High
14,Male,172.4,81.5,27.42,High,High
10,Male,155.0,55.5,23.11,High,High
11,Female,158.7,59.6,23.65,High,High
8,Female,131.1,32.4,18.83,Low,Low
11,Female,163.9,76.6,28.54,Medium,High
15,Female,166.2,63.7,23.07,Low,Medium
12,Male,143.3,47.0,22.91,Low,Low
15,Male,171.1,76.0,25.97,High,High
5,Male,122.8,25.6,16.99,High,Medium
10,Female,163.5,60.7,22.72,Low,Medium
12,Male,156.3,57.3,23.44,Low,Medium
9,Female,132.5,31.8,18.09,Low,Low
8,Female,126.3,42.0,26.32,High,Medium
6,Male,120.9,17.3,11.81,Low,Low
10,Male,152.0,44.7,19.35,Low,Medium
10,Male,133.7,33.7,18.83,Low,Low
15,Female,180.3,79.7,24.51,Medium,High
5,Female,123.2,24.8,16.33,High,Low
13,Male,168.1,64.4,22.8,Low,Medium
16,Male,155.9,56.8,23.36,Medium,High
15,Female,172.2,73.3,24.7,Low,Medium
10,Male,140.5,47.7,24.18,Medium,Medium
17,Female,171.5,72.2,24.56,Medium,High
7,Female,132.6,33.4,19.0,Low,Low
8,Male,118.5,22.7,16.13,Low,Low
16,Male,153.8,60.7,25.68,High,High
15,Male,180.3,72.4,22.28,Low,Medium
8,Male,123.1,15.0,9.9,Medium,Low
7,Female,127.2,40.8,25.2,Medium,Low
14,Female,169.9,75.5,26.16,Low,Medium
7,Female,112.5,15.0,11.86,Medium,Low
7,Male,129.6,29.8,17.73,High,Medium
8,Female,126.0,22.9,14.4,Medium,Low
11,Male,138.6,40.3,20.97,Low,Low
8,Male,113.4,15.0,11.66,Medium,Low
13,Male,171.1,77.8,26.58,Medium,High
5,Male,136.3,37.7,20.29,Medium,Medium
12,Male,146.8,48.5,22.5,Medium,Medium
11,Male,130.7,23.5,13.77,Low,Low
6,Female,114.4,18.6,14.22,Medium,Low
12,Male,140.7,33.7,17.03,Medium,Medium
5,Female,140.6,35.1,17.75,Medium,Low
15,Female,162.5,63.2,23.94,Medium,Medium
16,Male,160.3,80.4,31.27,Low,Medium
13,Male,148.3,49.6,22.58,Medium,Medium
13,Male,158.4,37.9,15.09,High,High
6,Female,112.7,15.0,11.82,Medium,Low
11,Male,135.0,40.4,22.2,Medium,Medium
14,Female,166.2,57.2,20.7,Medium,Medium
7,Male,121.0,27.6,18.88,High,Medium
11,Male,162.0,63.3,24.11,High,High
16,Female,175.8,83.7,27.09,Medium,High
14,Female,158.9,54.4,21.56,Low,Low
13,Male,155.8,50.7,20.89,High,High
8,Female,138.8,43.3,22.49,Medium,Medium
16,Female,181.6,81.5,24.73,Medium,High
5,Female,103.1,15.0,14.12,High,Low
6,Female,125.9,38.5,24.27,Medium,Low
5,Female,122.5,27.3,18.21,Low,Low
16,Male,171.5,55.6,18.9,High,High
9,Male,144.4,50.8,24.36,Medium,Medium
9,Female,120.2,25.8,17.84,Medium,Low
15,Male,144.4,53.9,25.84,Low,Medium
11,Male,150.8,43.3,19.03,Medium,Medium
13,Female,178.9,81.5,25.46,Low,Medium
13,Male,162.0,62.9,23.96,Medium,High
7,Female,117.9,15.0,10.78,Medium,Low
7,Female,120.6,28.2,19.38,High,Low
7,Male,133.5,31.6,17.71,Medium,Medium
8,Female,120.5,29.7,20.45,High,Low
12,Female,148.3,42.3,19.26,High,Medium
10,Female,145.3,33.6,15.92,Medium,Low
12,Female,144.2,42.3,20.33,Low,Low
5,Female,132.0,33.9,19.43,High,Medium
12,Male,140.2,35.9,18.28,Medium,Medium
8,Male,120.7,15.0,10.3,Low,Low
15,Female,173.0,76.0,25.42,Low,Medium
5,Female,115.1,18.2,13.7,High,Low
12,Male,136.2,41.7,22.48,Low,Low
8,Female,112.4,15.0,11.87,Low,Low
10,Male,153.5,50.0,21.23,Medium,Medium
12,Female,143.9,55.5,26.77,High,High
8,Female,111.9,15.0,11.99,Medium,Low
7,Female,133.5,31.6,17.7,Low,Low
13,Female,159.4,60.6,23.83,Low,Medium
7,Female,116.3,21.1,15.63,Medium,Low
13,Female,163.0,64.4,24.23,Low,Medium
17,Female,179.8,72.4,22.4,Medium,High
6,Male,121.1,30.4,20.74,Low,Low
6,Male,130.8,30.8,18.0,High,Medium
6,Male,132.3,18.9,10.82,Medium,Low
10,Female,149.4,51.1,22.89,Low,Low
7,Female,137.7,41.5,21.89,High,Medium
17,Female,157.9,73.6,29.51,Low,Medium
13,Female,154.6,57.8,24.21,Medium,Medium
8,Female,114.4,15.0,11.47,High,Low
5,Female,123.6,15.0,9.83,Medium,Low
8,Female,115.5,25.6,19.18,Medium,Low
5,Male,126.5,20.1,12.54,Medium,Low
9,Female,125.8,15.0,9.48,Low,Low
8,Male,135.2,43.2,23.63,Low,Low
12,Male,147.9,44.1,20.16,High,High
12,Female,140.8,48.4,24.41,Medium,Medium
11,Female,149.1,41.8,18.8,Low,Low
7,Male,114.7,26.5,20.13,Low,Low
5,Male,124.6,31.6,20.34,High,Medium
5,Female,128.2,22.4,13.64,High,Low
16,Female,166.3,53.0,19.17,Medium,Medium
15,Male,169.2,87.6,30.61,High,High
7,Female,118.6,16.9,12.01,High,Low
10,Female,156.5,50.4,20.58,Low,Low
11,Female,163.2,74.3,27.89,Low,Medium
10,Male,129.0,36.5,21.97,Low,Low
10,Male,132.8,42.3,23.97,High,Medium
10,Male,145.4,44.6,21.11,High,High
17,Female,162.4,77.5,29.37,Medium,High
7,Female,144.0,33.5,16.15,Low,Low
10,Male,147.2,42.8,19.74,Medium,Medium
12,Male,158.9,62.0,24.56,High,High
15,Male,144.5,53.9,25.79,High,High
15,Female,173.1,78.4,26.16,Low,Medium
6,Male,117.8,17.2,12.37,Medium,Low
9,Male,117.7,15.0,10.83,Low,Low
5,Female,122.5,31.9,21.26,High,Medium
16,Female,150.8,56.9,25.02,Medium,Medium
5,Female,129.4,22.4,13.39,Low,Low
9,Male,126.9,19.7,12.22,High,Medium
16,Female,167.7,63.3,22.52,Low,Medium
17,Female,173.9,68.5,22.65,High,High
7,Male,140.1,48.4,24.63,Low,Low
8,Female,121.4,24.8,16.87,Medium,Low
7,Male,129.8,34.2,20.33,High,Medium
5,Male,127.9,29.5,18.0,Medium,Medium
5,Female,128.8,30.7,18.5,Medium,Low
16,Female,168.9,56.3,19.72,Medium,Medium
16,Female,180.9,87.3,26.66,Low,Medium
17,Female,160.4,55.9,21.72,Medium,Medium
9,Female,109.7,15.0,12.45,High,Low
10,Female,138.0,34.2,17.97,High,Medium
7,Male,132.6,33.7,19.2,High,Medium
16,Male,165.2,69.8,25.57,Medium,High
13,Female,160.3,52.3,20.33,High,High
9,Male,114.2,16.3,12.46,High,Low
12,Female,147.2,43.6,20.13,Medium,Medium
17,Male,171.4,82.0,27.9,Low,Medium
5,Male,128.1,19.1,11.67,Medium,Low
9,Male,122.5,15.0,10.0,High,Low
7,Female,126.5,23.6,14.75,Medium,Low
16,Male,166.4,59.0,21.31,High,High
5,Female,126.9,25.1,15.59,Low,Low
8,Male,113.2,15.0,11.71,High,Low
17,Male,167.0,67.7,24.28,Medium,High
9,Male,120.6,28.7,19.71,Medium,Low
11,Male,155.4,56.0,23.18,Low,Medium
5,Male,126.3,27.6,17.31,Low,Low
7,Female,133.4,24.9,14.0,High,Low
6,Female,122.0,20.9,14.05,High,Low
13,Male,162.3,59.0,22.37,Medium,High
14,Male,179.9,85.4,26.37,Low,High
10,Male,149.4,43.2,19.39,Medium,Medium
14,Male,157.9,51.0,20.45,Low,Medium
7,Female,134.0,36.5,20.34,Low,Low
12,Male,139.7,55.5,28.46,High,High
12,Female,147.3,45.8,21.14,High,Medium
6,Male,143.4,44.7,21.75,Low,Low
10,Female,130.7,38.3,22.41,Medium,Low
11,Male,143.2,47.3,23.06,Low,Low
6,Male,129.1,33.2,19.93,Low,Low
15,Female,172.6,71.9,24.12,Low,Medium
14,Male,152.6,52.0,22.33,Medium,Medium
6,Male,109.6,15.0,12.48,Low,Low
14,Male,175.9,79.8,25.79,Medium,High
5,Female,117.8,21.5,15.5,Low,Low
12,Male,137.4,43.1,22.85,Low,Low
5,Male,140.5,36.6,18.54,Low,Low
13,Female,165.7,72.3,26.35,High,High
15,Female,165.8,74.8,27.23,High,High
10,Female,143.2,33.5,16.33,High,Medium
11,Male,132.8,30.4,17.24,Medium,Medium
17,Male,171.8,81.2,27.51,Medium,High
14,Male,169.1,63.9,22.35,Medium,High
11,Female,146.7,50.9,23.66,Low,Low
14,Male,163.8,63.9,23.81,High,High
7,Male,122.1,24.7,16.59,Medium,Low
6,Female,134.1,34.4,19.14,Medium,Low
13,Female,163.6,69.6,25.99,Medium,High
12,Female,144.4,36.2,17.36,Medium,Low
17,Female,170.3,63.0,21.72,High,High
16,Female,167.1,78.8,28.23,Medium,High
14,Male,181.4,98.2,29.84,Medium,High
11,Female,127.4,27.3,16.85,Medium,Low
13,Male,168.0,81.7,28.95,High,High
8,Male,117.9,15.0,10.78,Medium,Low
17,Female,155.6,51.3,21.21,Medium,Medium
8,Female,120.4,32.1,22.13,Low,Low
5,Female,125.5,32.0,20.29,High,Medium
12,Male,146.0,58.8,27.61,Low,Medium
16,Female,149.8,53.6,23.87,Medium,Medium
7,Female,119.6,15.0,10.49,High,Low
11,Female,147.8,49.6,22.7,High,Medium
16,Female,156.2,65.8,26.98,Medium,Medium
6,Female,113.9,15.0,11.57,High,Low
6,Male,102.4,15.0,14.29,Low,Low
11,Male,138.4,42.2,22.06,High,High
10,Male,133.5,29.0,16.29,Medium,Medium
7,Female,115.2,17.5,13.21,Medium,Low
13,Female,162.3,62.8,23.84,High,High
14,Female,159.0,55.1,21.79,High,High
17,Male,153.3,61.2,26.02,Low,Medium
10,Female,123.8,29.0,18.92,High,Low
14,Female,168.0,65.2,23.09,Low,Medium
14,Female,172.5,72.4,24.33,High,High
10,Male,141.0,38.9,19.54,Medium,Medium
5,Female,122.3,17.2,11.51,Low,Low
8,Male,125.0,15.0,9.6,Medium,Low
14,Female,180.8,76.9,23.53,Medium,High
10,Male,129.3,24.3,14.55,Medium,Low
10,Male,140.9,41.8,21.06,Low,Low
15,Male,147.8,51.3,23.49,Low,Medium
16,Female,168.6,62.2,21.88,High,High
9,Female,123.6,26.5,17.39,Low,Low
5,Male,127.0,19.4,12.01,Medium,Low
12,Male,146.5,45.5,21.2,Medium,Medium
9,Female,134.9,30.1,16.53,Low,Low
16,Female,170.4,76.4,26.3,Medium,High
16,Male,173.3,74.2,24.72,Medium,High
16,Female,154.3,53.5,22.44,Medium,Medium
9,Female,136.9,31.9,17.03,Medium,Low
11,Female,137.8,35.1,18.51,Medium,Low
8,Female,118.4,33.0,23.55,Medium,Low
10,Male,147.7,43.7,20.03,High,High
17,Female,168.0,71.9,25.45,Low,Medium
8,Female,114.3,15.0,11.49,High,Low
7,Male,123.3,26.9,17.69,Medium,Low
11,Male,159.9,66.6,26.05,High,High
12,Female,130.3,27.5,16.18,Medium,Low
8,Female,139.9,45.5,23.28,Medium,Medium
17,Female,162.6,84.6,32.02,High,High
6,Female,101.6,15.0,14.52,Low,Low
16,Male,151.3,64.2,28.05,Low,Medium
14,Male,155.4,59.2,24.53,Low,Medium
7,Male,118.8,15.0,10.64,High,Low
5,Female,124.0,26.2,17.03,Medium,Low
12,Female,118.0,15.3,11.01,Medium,Low
7,Female,126.9,22.1,13.73,High,Low
16,Female,154.4,53.9,22.58,Medium,Medium
14,Male,178.9,77.7,24.27,High,High
11,Male,142.3,33.8,16.7,Medium,Medium
14,Female,174.4,96.1,31.58,High,High
9,Male,136.1,42.6,22.98,Low,Low
14,Female,175.8,77.8,25.16,Low,Medium
9,Female,119.3,20.1,14.08,Medium,Low
11,Male,139.2,48.8,25.2,Medium,Medium
13,Female,162.8,79.4,29.96,Medium,High
16,Female,171.4,76.8,26.17,Medium,High
9,Male,119.9,20.9,14.51,Low,Low
5,Female,123.8,35.6,23.22,Medium,Low
14,Female,167.7,68.9,24.48,Medium,High
14,Male,156.0,59.4,24.44,Low,Medium
5,Female,115.3,23.3,17.54,Medium,Low
6,Male,123.4,20.3,13.34,Medium,Low
10,Female,144.7,28.1,13.43,Medium,Low
13,Male,169.3,65.9,22.97,Low,Medium
12,Male,151.7,57.9,25.15,High,High
17,Male,154.0,59.6,25.14,Medium,High
9,Female,116.9,27.6,20.22,Low,Low
5,Male,115.3,15.0,11.28,Medium,Low
17,Male,179.1,91.8,28.6,High,High
11,Male,143.8,45.3,21.9,Medium,Medium
9,Male,125.2,30.0,19.15,High,Medium
10,Male,145.6,52.8,24.92,Low,Medium
17,Female,157.8,46.8,18.78,High,Medium
11,Female,160.6,52.6,20.38,Medium,Medium
7,Female,129.1,20.8,12.48,Low,Low
16,Female,165.4,74.0,27.04,Medium,High
14,Female,153.9,51.5,21.73,High,High
7,Female,113.4,29.6,23.03,High,Low
9,Female,121.9,21.9,14.76,Medium,Low
10,Male,138.0,26.2,13.77,Low,Low
13,Female,154.3,48.9,20.55,Medium,Medium
17,Male,161.3,62.2,23.92,Low,Medium
16,Male,162.8,67.0,25.25,Low,Medium
9,Female,126.4,18.5,11.6,Medium,Low
5,Male,120.0,24.5,17.03,High,Medium
8,Male,114.9,21.6,16.36,Medium,Low
9,Male,115.3,15.0,11.29,Low,Low
16,Male,177.1,92.9,29.6,Medium,High
14,Female,152.5,48.2,20.74,High,Medium
14,Female,168.6,60.6,21.32,High,High
9,Female,130.2,18.0,10.6,Medium,Low
11,Female,143.8,53.6,25.9,High,Medium
8,Female,142.7,42.9,21.05,High,Medium
5,Female,130.0,26.2,15.49,Low,Low
9,Female,143.4,31.6,15.38,Medium,Low
11,Female,138.5,35.4,18.44,High,Medium
14,Female,158.7,77.7,30.87,Medium,High
14,Female,170.3,53.1,18.32,Low,Medium
10,Male,142.4,37.3,18.41,Medium,Medium
9,Female,141.9,56.2,27.93,Medium,Medium
8,Male,128.4,38.4,23.29,High,Medium
6,Male,114.6,15.0,11.43,Medium,Low
8,Male,107.6,15.0,12.95,Medium,Low
14,Male,164.2,67.9,25.19,High,High
14,Female,164.1,65.2,24.2,Medium,Medium
7,Male,128.1,42.4,25.83,Low,Low
14,Female,177.1,79.8,25.45,High,High
5,Female,135.8,44.9,24.34,Medium,Medium
12,Male,139.2,40.7,20.98,Medium,Medium
9,Female,112.1,15.0,11.94,Medium,Low
17,Male,152.7,43.1,18.5,Low,Low
8,Male,117.6,15.0,10.84,High,Low
12,Female,141.3,39.3,19.69,Medium,Low
11,Female,148.1,64.7,29.51,Medium,Medium
6,Male,117.0,19.9,14.53,Low,Low
5,Female,127.8,27.0,16.5,Medium,Low
16,Female,168.6,78.5,27.62,High,High
15,Female,166.4,54.8,19.79,High,High
8,Male,113.7,15.0,11.6,High,Low
12,Male,149.7,44.6,19.9,Medium,Medium
16,Female,185.8,89.0,25.78,High,High
6,Female,127.5,34.6,21.31,Medium,Low
7,Female,95.5,15.0,16.46,High,Low
16,Female,177.4,81.3,25.83,High,High
5,Female,118.0,15.1,10.84,Medium,Low
5,Male,147.7,50.2,23.04,Medium,Medium
17,Female,166.2,59.4,21.53,Low,Medium
7,Male,108.2,15.0,12.82,Medium,Low
15,Female,144.4,40.3,19.36,High,Medium
9,Male,140.4,31.4,15.94,Low,Low
16,Female,176.1,76.4,24.64,Low,Medium
7,Male,147.3,32.0,14.74,Low,Low
5,Female,125.1,36.9,23.58,High,Medium
5,Male,124.4,30.8,19.9,Medium,Low
12,Male,141.2,43.9,22.01,Low,Low
14,Male,158.4,45.4,18.1,Medium,Medium
15,Male,161.1,55.5,21.38,Medium,High
16,Male,167.2,67.5,24.15,Medium,High
17,Male,156.6,54.5,22.22,High,High
17,Female,148.3,34.8,15.82,Medium,Low
16,Male,166.6,56.1,20.2,Medium,High
6,Female,116.3,15.0,11.08,Low,Low
17,Female,132.6,22.3,12.7,Low,Low
7,Female,130.5,41.5,24.36,Medium,Low
6,Female,113.9,17.9,13.77,Medium,Low
7,Female,131.6,25.2,14.54,Medium,Low
11,Male,151.4,60.7,26.5,Low,Medium
5,Male,127.8,35.6,21.77,Low,Low
14,Male,190.0,92.3,25.57,High,High
12,Female,143.6,43.3,20.99,Medium,Medium
