Age,Gender,Height_cm,Weight_kg,BMI,Activity_Level,Daily_Calories,Calorie_Level
15,Female,176.0,78.8,25.44,High,2973.0,High
13,Female,165.4,55.4,20.26,Low,1634.0,Medium
9,Male,128.9,42.0,25.26,Medium,1779.0,Medium
5,Male,124.2,27.5,17.81,Medium,1546.0,Low
7,Male,126.0,23.9,15.03,Medium,1494.0,Low
14,Female,166.7,68.5,24.64,Low,1795.0,Medium
16,Male,158.3,65.7,26.24,Low,1886.0,Medium
12,Female,141.0,29.3,14.72,Medium,1429.0,Low
15,Female,162.8,62.0,23.38,Medium,2102.0,Medium
10,Male,147.3,37.8,17.43,Medium,1881.0,Medium
12,Female,144.7,66.0,31.5,Low,1611.0,Medium
13,Female,176.7,77.8,24.92,Medium,2485.0,High
8,Female,133.5,24.0,13.5,Medium,1311.0,Low
5,Female,123.0,51.8,34.24,Medium,1652.0,Medium
5,Male,138.8,34.5,17.92,Medium,1789.0,Medium
14,Male,183.7,82.1,24.31,Low,2285.0,High
8,Female,104.6,15.0,13.72,Low,723.0,Low
16,Female,174.3,67.5,22.23,Low,1829.0,Medium
11,Male,138.1,40.0,21.01,Medium,1820.0,Medium
6,Female,133.0,15.3,8.66,Low,952.0,Low
7,Male,137.4,46.1,24.41,Medium,1934.0,Medium
5,Female,116.2,15.0,11.1,Medium,1036.0,Low
9,Female,106.5,15.0,13.23,Medium,914.0,Low
5,Male,133.4,39.4,22.14,Medium,1811.0,Medium
12,Male,146.4,44.7,20.88,Low,1568.0,Low
5,Male,108.3,15.0,12.79,Medium,1210.0,Low
15,Male,190.0,81.9,22.69,High,3486.0,High
5,Female,131.2,48.0,27.87,Medium,1672.0,Medium
6,Male,131.7,36.0,20.73,High,2084.0,Medium
6,Female,138.7,30.0,15.6,High,1756.0,Medium
16,Male,159.2,60.6,23.92,Medium,2289.0,High
10,Male,146.3,37.1,17.32,Low,1488.0,Low
11,Female,131.8,45.6,26.24,Medium,1595.0,Low
9,Male,118.9,20.5,14.51,Low,1090.0,Low
5,Male,128.9,21.1,12.68,Medium,1494.0,Low
5,Male,108.3,15.0,12.78,High,1453.0,Low
7,Male,118.6,16.4,11.66,High,1576.0,Low
6,Female,115.7,15.0,11.2,Medium,1023.0,Low
9,Female,126.4,29.5,18.44,Medium,1318.0,Low
16,Male,170.7,73.6,25.23,Medium,2592.0,High
14,Male,172.4,81.5,27.42,High,3290.0,High
10,Male,155.0,55.5,23.11,High,2662.0,High
11,Female,158.7,59.6,23.65,High,2469.0,High
8,Female,131.1,32.4,18.83,Low,1130.0,Low
11,Female,163.9,76.6,28.54,Medium,2362.0,High
15,Female,166.2,63.7,23.07,Low,1728.0,Medium
12,Male,143.3,47.0,22.91,Low,1573.0,Low
15,Male,171.1,76.0,25.97,High,3167.0,High
5,Male,122.8,25.6,16.99,High,1807.0,Medium
10,Female,163.5,60.7,22.72,Low,1702.0,Medium
12,Male,156.3,57.3,23.44,Low,1794.0,Medium
9,Female,132.5,31.8,18.09,Low,1128.0,Low
8,Female,126.3,42.0,26.32,High,1815.0,Medium
6,Male,120.9,17.3,11.81,Low,1084.0,Low
10,Male,152.0,44.7,19.35,Low,1623.0,Medium
10,Male,133.7,33.7,18.83,Low,1353.0,Low
15,Female,180.3,79.7,24.51,Medium,2533.0,High
5,Female,123.2,24.8,16.33,High,1498.0,Low
13,Male,168.1,64.4,22.8,Low,1961.0,Medium
16,Male,155.9,56.8,23.36,Medium,2201.0,High
15,Female,172.2,73.3,24.7,Low,1888.0,Medium
10,Male,140.5,47.7,24.18,Medium,1965.0,Medium
17,Female,171.5,72.2,24.56,Medium,2322.0,High
7,Female,132.6,33.4,19.0,Low,1160.0,Low
8,Male,118.5,22.7,16.13,Low,1119.0,Low
16,Male,153.8,60.7,25.68,High,2688.0,High
15,Male,180.3,72.4,22.28,Low,2138.0,Medium
8,Male,123.1,15.0,9.9,Medium,1326.0,Low
7,Female,127.2,40.8,25.2,Medium,1511.0,Low
14,Female,169.9,75.5,26.16,Low,1903.0,Medium
7,Female,112.5,15.0,11.86,Medium,985.0,Low
7,Male,129.6,29.8,17.73,High,1940.0,Medium
8,Female,126.0,22.9,14.4,Medium,1222.0,Low
11,Male,138.6,40.3,20.97,Low,1462.0,Low
8,Male,113.4,15.0,11.66,Medium,1236.0,Low
13,Male,171.1,77.8,26.58,Medium,2680.0,High
5,Male,136.3,37.7,20.29,Medium,1813.0,Medium
12,Male,146.8,48.5,22.5,Medium,2021.0,Medium
11,Male,130.7,23.5,13.77,Low,1202.0,Low
6,Female,114.4,18.6,14.22,Medium,1066.0,Low
12,Male,140.7,33.7,17.03,Medium,1742.0,Medium
5,Female,140.6,35.1,17.75,Medium,1566.0,Low
15,Female,162.5,63.2,23.94,Medium,2118.0,Medium
16,Male,160.3,80.4,31.27,Low,2077.0,Medium
13,Male,148.3,49.6,22.58,Medium,2045.0,Medium
13,Male,158.4,37.9,15.09,High,2356.0,High
6,Female,112.7,15.0,11.82,Medium,995.0,Low
11,Male,135.0,40.4,22.2,Medium,1797.0,Medium
14,Female,166.2,57.2,20.7,Medium,2069.0,Medium
7,Male,121.0,27.6,18.88,High,1805.0,Medium
11,Male,162.0,63.3,24.11,High,2871.0,High
16,Female,175.8,83.7,27.09,Medium,2542.0,High
14,Female,158.9,54.4,21.56,Low,1568.0,Low
13,Male,155.8,50.7,20.89,High,2558.0,High
8,Female,138.8,43.3,22.49,Medium,1650.0,Medium
16,Female,181.6,81.5,24.73,Medium,2564.0,High
5,Female,103.1,15.0,14.12,High,1095.0,Low
6,Female,125.9,38.5,24.27,Medium,1471.0,Low
5,Female,122.5,27.3,18.21,Low,1023.0,Low
16,Male,171.5,55.6,18.9,High,2795.0,High
9,Male,144.4,50.8,24.36,Medium,2056.0,Medium
9,Female,120.2,25.8,17.84,Medium,1204.0,Low
15,Male,144.4,53.9,25.84,Low,1645.0,Medium
11,Male,150.8,43.3,19.03,Medium,1988.0,Medium
13,Female,178.9,81.5,25.46,Low,2049.0,Medium
13,Male,162.0,62.9,23.96,Medium,2371.0,High
7,Female,117.9,15.0,10.78,Medium,1037.0,Low
7,Female,120.6,28.2,19.38,High,1512.0,Low
7,Male,133.5,31.6,17.71,Medium,1680.0,Medium
8,Female,120.5,29.7,20.45,High,1528.0,Low
12,Female,148.3,42.3,19.26,High,2033.0,Medium
10,Female,145.3,33.6,15.92,Medium,1549.0,Low
12,Female,144.2,42.3,20.33,Low,1324.0,Low
5,Female,132.0,33.9,19.43,High,1760.0,Medium
12,Male,140.2,35.9,18.28,Medium,1771.0,Medium
8,Male,120.7,15.0,10.3,Low,1043.0,Low
15,Female,173.0,76.0,25.42,Low,1927.0,Medium
5,Female,115.1,18.2,13.7,High,1287.0,Low
12,Male,136.2,41.7,22.48,Low,1456.0,Low
8,Female,112.4,15.0,11.87,Low,782.0,Low
10,Male,153.5,50.0,21.23,Medium,2122.0,Medium
12,Female,143.9,55.5,26.77,High,2220.0,High
8,Female,111.9,15.0,11.99,Medium,972.0,Low
7,Female,133.5,31.6,17.7,Low,1145.0,Low
13,Female,159.4,60.6,23.83,Low,1652.0,Medium
7,Female,116.3,21.1,15.63,Medium,1113.0,Low
13,Female,163.0,64.4,24.23,Low,1724.0,Medium
17,Female,179.8,72.4,22.4,Medium,2403.0,High
6,Male,121.1,30.4,20.74,Low,1243.0,Low
6,Male,130.8,30.8,18.0,High,1980.0,Medium
6,Male,132.3,18.9,10.82,Medium,1486.0,Low
10,Female,149.4,51.1,22.89,Low,1481.0,Low
7,Female,137.7,41.5,21.89,High,1944.0,Medium
17,Female,157.9,73.6,29.51,Low,1773.0,Medium
13,Female,154.6,57.8,24.21,Medium,1978.0,Medium
8,Female,114.4,15.0,11.47,High,1195.0,Low
5,Female,123.6,15.0,9.83,Medium,1104.0,Low
8,Female,115.5,25.6,19.18,Medium,1166.0,Low
5,Male,126.5,20.1,12.54,Medium,1457.0,Low
9,Female,125.8,15.0,9.48,Low,876.0,Low
8,Male,135.2,43.2,23.63,Low,1490.0,Low
12,Male,147.9,44.1,20.16,High,2359.0,High
12,Female,140.8,48.4,24.41,Medium,1715.0,Medium
11,Female,149.1,41.8,18.8,Low,1361.0,Low
7,Male,114.7,26.5,20.13,Low,1142.0,Low
5,Male,124.6,31.6,20.34,High,1935.0,Medium
5,Female,128.2,22.4,13.64,High,1511.0,Low
16,Female,166.3,53.0,19.17,Medium,1993.0,Medium
15,Male,169.2,87.6,30.61,High,3354.0,High
7,Female,118.6,16.9,12.01,High,1285.0,Low
10,Female,156.5,50.4,20.58,Low,1526.0,Low
11,Female,163.2,74.3,27.89,Low,1857.0,Medium
10,Male,129.0,36.5,21.97,Low,1352.0,Low
10,Male,132.8,42.3,23.97,High,2175.0,Medium
10,Male,145.4,44.6,21.11,High,2359.0,High
17,Female,162.4,77.5,29.37,Medium,2316.0,High
7,Female,144.0,33.5,16.15,Low,1246.0,Low
10,Male,147.2,42.8,19.74,Medium,1954.0,Medium
12,Male,158.9,62.0,24.56,High,2806.0,High
15,Male,144.5,53.9,25.79,High,2469.0,High
15,Female,173.1,78.4,26.16,Low,1957.0,Medium
6,Male,117.8,17.2,12.37,Medium,1325.0,Low
9,Male,117.7,15.0,10.83,Low,1015.0,Low
5,Female,122.5,31.9,21.26,High,1618.0,Medium
16,Female,150.8,56.9,25.02,Medium,1905.0,Medium
5,Female,129.4,22.4,13.39,Low,1017.0,Low
9,Male,126.9,19.7,12.22,High,1710.0,Medium
16,Female,167.7,63.3,22.52,Low,1728.0,Medium
17,Female,173.9,68.5,22.65,High,2746.0,High
7,Male,140.1,48.4,24.63,Low,1596.0,Low
8,Female,121.4,24.8,16.87,Medium,1209.0,Low
7,Male,129.8,34.2,20.33,High,2022.0,Medium
5,Male,127.9,29.5,18.0,Medium,1611.0,Medium
5,Female,128.8,30.7,18.5,Medium,1389.0,Low
16,Female,168.9,56.3,19.72,Medium,2066.0,Medium
16,Female,180.9,87.3,26.66,Low,2115.0,Medium
17,Female,160.4,55.9,21.72,Medium,1973.0,Medium
9,Female,109.7,15.0,12.45,High,1134.0,Low
10,Female,138.0,34.2,17.97,High,1789.0,Medium
7,Male,132.6,33.7,19.2,High,2045.0,Medium
16,Male,165.2,69.8,25.57,Medium,2484.0,High
13,Female,160.3,52.3,20.33,High,2337.0,High
9,Male,114.2,16.3,12.46,High,1506.0,Low
12,Female,147.2,43.6,20.13,Medium,1703.0,Medium
17,Male,171.4,82.0,27.9,Low,2174.0,Medium
5,Male,128.1,19.1,11.67,Medium,1458.0,Low
9,Male,122.5,15.0,10.0,High,1576.0,Low
7,Female,126.5,23.6,14.75,Medium,1245.0,Low
16,Male,166.4,59.0,21.31,High,2799.0,High
5,Female,126.9,25.1,15.59,Low,1030.0,Low
8,Male,113.2,15.0,11.71,High,1480.0,Low
17,Male,167.0,67.7,24.28,Medium,2461.0,High
9,Male,120.6,28.7,19.71,Medium,1500.0,Low
11,Male,155.4,56.0,23.18,Low,1777.0,Medium
5,Male,126.3,27.6,17.31,Low,1255.0,Low
7,Female,133.4,24.9,14.0,High,1596.0,Low
6,Female,122.0,20.9,14.05,High,1405.0,Low
13,Male,162.3,59.0,22.37,Medium,2316.0,High
14,Male,179.9,85.4,26.37,Low,2296.0,High
10,Male,149.4,43.2,19.39,Medium,1981.0,Medium
14,Male,157.9,51.0,20.45,Low,1718.0,Medium
7,Female,134.0,36.5,20.34,Low,1208.0,Low
12,Male,139.7,55.5,28.46,High,2471.0,High
12,Female,147.3,45.8,21.14,High,2084.0,Medium
6,Male,143.4,44.7,21.75,Low,1582.0,Low
10,Female,130.7,38.3,22.41,Medium,1483.0,Low
11,Male,143.2,47.3,23.06,Low,1582.0,Low
6,Male,129.1,33.2,19.93,Low,1337.0,Low
15,Female,172.6,71.9,24.12,Low,1874.0,Medium
14,Male,152.6,52.0,22.33,Medium,2113.0,Medium
6,Male,109.6,15.0,12.48,Low,972.0,Low
14,Male,175.9,79.8,25.79,Medium,2749.0,High
5,Female,117.8,21.5,15.5,Low,918.0,Low
12,Male,137.4,43.1,22.85,Low,1482.0,Low
5,Male,140.5,36.6,18.54,Low,1469.0,Low
13,Female,165.7,72.3,26.35,High,2759.0,High
15,Female,165.8,74.8,27.23,High,2787.0,High
10,Female,143.2,33.5,16.33,High,1834.0,Medium
11,Male,132.8,30.4,17.24,Medium,1625.0,Medium
17,Male,171.8,81.2,27.51,Medium,2708.0,High
14,Male,169.1,63.9,22.35,Medium,2446.0,High
11,Female,146.7,50.9,23.66,Low,1452.0,Low
14,Male,163.8,63.9,23.81,High,2876.0,High
7,Male,122.1,24.7,16.59,Medium,1470.0,Low
6,Female,134.1,34.4,19.14,Medium,1487.0,Low
13,Female,163.6,69.6,25.99,Medium,2238.0,High
12,Female,144.4,36.2,17.36,Medium,1565.0,Low
17,Female,170.3,63.0,21.72,High,2607.0,High
16,Female,167.1,78.8,28.23,Medium,2387.0,High
14,Male,181.4,98.2,29.84,Medium,3077.0,High
11,Female,127.4,27.3,16.85,Medium,1280.0,Low
13,Male,168.0,81.7,28.95,High,3253.0,High
8,Male,117.9,15.0,10.78,Medium,1278.0,Low
17,Female,155.6,51.3,21.21,Medium,1859.0,Medium
8,Female,120.4,32.1,22.13,Low,1047.0,Low
5,Female,125.5,32.0,20.29,High,1653.0,Medium
12,Male,146.0,58.8,27.61,Low,1735.0,Medium
16,Female,149.8,53.6,23.87,Medium,1847.0,Medium
7,Female,119.6,15.0,10.49,High,1263.0,Low
11,Female,147.8,49.6,22.7,High,2167.0,Medium
16,Female,156.2,65.8,26.98,Medium,2091.0,Medium
6,Female,113.9,15.0,11.57,High,1207.0,Low
6,Male,102.4,15.0,14.29,Low,918.0,Low
11,Male,138.4,42.2,22.06,High,2227.0,High
10,Male,133.5,29.0,16.29,Medium,1620.0,Medium
7,Female,115.2,17.5,13.21,Medium,1049.0,Low
13,Female,162.3,62.8,23.84,High,2549.0,High
14,Female,159.0,55.1,21.79,High,2364.0,High
17,Male,153.3,61.2,26.02,Low,1788.0,Medium
10,Female,123.8,29.0,18.92,High,1536.0,Low
14,Female,168.0,65.2,23.09,Low,1765.0,Medium
14,Female,172.5,72.4,24.33,High,2828.0,High
10,Male,141.0,38.9,19.54,Medium,1838.0,Medium
5,Female,122.3,17.2,11.51,Low,901.0,Low
8,Male,125.0,15.0,9.6,Medium,1345.0,Low
14,Female,180.8,76.9,23.53,Medium,2502.0,High
10,Male,129.3,24.3,14.55,Medium,1510.0,Low
10,Male,140.9,41.8,21.06,Low,1504.0,Low
15,Male,147.8,51.3,23.49,Low,1640.0,Medium
16,Female,168.6,62.2,21.88,High,2583.0,High
9,Female,123.6,26.5,17.39,Low,998.0,Low
5,Male,127.0,19.4,12.01,Medium,1452.0,Low
12,Male,146.5,45.5,21.2,Medium,1974.0,Medium
9,Female,134.9,30.1,16.53,Low,1126.0,Low
16,Female,170.4,76.4,26.3,Medium,2381.0,High
16,Male,173.3,74.2,24.72,Medium,2626.0,High
16,Female,154.3,53.5,22.44,Medium,1887.0,Medium
9,Female,136.9,31.9,17.03,Medium,1454.0,Low
11,Female,137.8,35.1,18.51,Medium,1495.0,Low
8,Female,118.4,33.0,23.55,Medium,1303.0,Low
10,Male,147.7,43.7,20.03,High,2367.0,High
17,Female,168.0,71.9,25.45,Low,1827.0,Medium
8,Female,114.3,15.0,11.49,High,1194.0,Low
7,Male,123.3,26.9,17.69,Medium,1514.0,Low
11,Male,159.9,66.6,26.05,High,2907.0,High
12,Female,130.3,27.5,16.18,Medium,1302.0,Low
8,Female,139.9,45.5,23.28,Medium,1693.0,Medium
17,Female,162.6,84.6,32.02,High,2910.0,High
6,Female,101.6,15.0,14.52,Low,713.0,Low
16,Male,151.3,64.2,28.05,Low,1816.0,Medium
14,Male,155.4,59.2,24.53,Low,1798.0,Medium
7,Male,118.8,15.0,10.64,High,1552.0,Low
5,Female,124.0,26.2,17.03,Medium,1275.0,Low
